Site_Name,Longitude,Latitude,Elevation
Panki_Powerplant,80.26,26.48,128
Bonanza_Creek_2,-148.32,64.74,353
Baneasa,26.08,44.51,127
Cold_Lake,-110.28,54.42,539
Helsinki,24.96,60.2,52.8
Paposo,-70.45,-25.01,0
Iquique,-70.18,-20.54,0
Kaiping,112.54,22.32,51
Camaguey,-77.85,21.42,122
El_Segundo,-118.38,33.91,25
Dayton,-84.11,39.78,243
Arcachon,-1.16,44.66,11
Kitt-Peak_MP,-111.59,31.96,2096
Wytham_Woods,-1.33,51.77,160
Zhongshan_Univ,113.39,23.06,27
Vechernaya_Hill,46.16,-67.66,80
Manila_Observatory,121.08,14.64,63
Novolazarevskaya,11.83,-70.77,119
Mobile_N_011509_ND,76.92,28.42,221
Mobile_S_011509_ND,76.94,28.35,250
Ubon_Ratchathani,104.87,15.25,120
Malaga,-4.48,36.72,40
Shouxian,116.78,32.56,22.7
Seysses,1.26,43.5,179
Oukaimeden,-7.88,31.21,2700
IIT_KGP_EXT_Kolkata,88.42,22.57,10
Utsteinen,23.33,-71.95,1396
Jaipur,75.81,26.91,450
Nagarkot,85.53,27.72,1935
KUIC,85.55,27.62,1568
Hand_Jaipur,75.81,26.91,450
Shimla,77.18,31.08,2100
Chitkara,76.87,30.87,520
Hetauda,85.03,27.43,465
Dhulikel,85.55,27.62,1568
Regina,-104.71,50.21,0
Yellowknife_Aurora,-114.38,62.45,220.8
Langtang,85.49,28.01,3670
Kuwait_Airport,47.97,29.24,56
Lanzhou_City,103.85,36.05,1516
Dhangadhi,80.57,28.71,165
Graciosa,-28.03,39.09,15.24
Birkenes,8.25,58.39,230
Bandung,107.61,-6.89,826
Zinder_Airport,8.99,13.78,456
Hand_Maricopa,-111.97,33.07,360
Jornex,-106.84,32.59,1322
NEON-Table_Mountain,-105.24,40.13,1689
Kathmandu_Univ,85.54,27.6,1510
Manali,77.19,32.31,2474
LISCO,-73.34,40.95,12
Besisahar,84.38,28.23,786
Ghanpokhara,84.3,28.28,2176
UMBC,-76.71,39.25,79
SAGRES,-8.87,37.05,26
Univ_of_Lethbridge,-112.87,49.68,737
Easton_Airport,-76.07,38.81,15
Tuz_Golu,33.34,38.75,907
Kelowna_UAS,-119.4,49.94,456
NCAR,-105.24,40.04,1601
Eforie,28.63,44.08,40
IASBS,48.57,36.66,1805
QOMS_CAS,86.95,28.37,4276
Buesum,8.88,54.13,10
TUBITAK_UZAY_Ankara,32.78,39.89,924
Ittoqqortoormiit,-21.95,70.48,68
Lucinda,146.39,-18.52,8
Salon_de_Provence,5.12,43.61,60
Zhongshan,113.38,22.52,39
ND_Marbel_Univ,124.84,6.5,70
WaveCIS_Site_CSI_6,-90.48,28.87,32.66
Goldstone,-116.79,35.23,1100
Vostok,106.83,-78.47,3494
Pokhana,84.3,28.28,2176
Pokhara,83.97,28.15,807
