Site_Name,Longitude,Latitude,Elevation
Dongsha_Island,116.73,20.7,5
Rogers_Lake,-117.83,34.97,0
Chao_Jou,120.53,22.51,0
Arica,-70.31,-18.47,25
Tinga_Tingana,139.99,-28.98,38
Monclova,-101.47,25.95,600
Aguascalientes,-102.32,21.7,2000
MCO-Hanimaadhoo,73.18,6.78,0
NASA_LaRC,-76.38,37.1,5
Pickle_Lake,-90.22,51.45,393
IMAA_Potenza,15.72,40.6,820
Andros_Island,-77.8,24.7,0
Kejimkujik,-65.28,44.38,154.5
Lydenburg,30.77,-24.57,1186
Skukuza,31.59,-24.99,150
Bahrain,50.61,26.21,25
Table_Mountain,-105.24,40.13,1689
TABLE_MOUNTAIN_CA,-117.68,34.38,2200
Howland,-68.73,45.2,100
Chequamegon,-90.25,45.93,0
USDA,-76.88,39.03,50
Honolulu,-157.89,21.32,0
St_John_Island,-64.73,18.32,0
Barnaul,83.77,53.34,202
Bethlehem,28.33,-28.25,1709
Solar_Village,46.4,24.91,764
Abracos_Hill,-62.36,-10.76,200
EOPACE1,-75.75,36.18,0
EOPACE2,-75.74,36.18,0
Mexico_City,-99.18,19.33,2268
Carlsbad,-104.23,32.37,942
Buena_Vista,-119.26,35.22,0
Rimrock,-116.99,46.49,824
Chinhae,128.65,35.16,69
Albuquerque,-106.54,35.05,1645
Kolimbari,23.78,35.53,0
Helgoland,7.89,54.18,33
Tahoe_City,-120.14,39.17,1899
Nauru,166.92,-0.52,7
Shelton,-98.76,40.75,563
Creteil,2.44,48.79,57
Mont_Joli,-68.16,48.64,30
Marina,-121.81,36.81,15
Gotland,18.95,57.92,10
Konza,-96.56,39.08,457
Sopot,18.56,54.45,0
Clermont_Ferrand,2.96,45.76,1464
Palaiseau,2.21,48.7,156
Saclay,2.17,48.73,160
Paris,2.33,48.87,50
Toulouse,1.37,43.57,150
TOULOUSE,1.48,43.56,150
Moldova,28.82,47,205
MD_Science_Center,-76.62,39.28,15
GOA_INDIA,73.81,15.45,20
Dharwar,74.99,15.43,700
Aguas_Emendadas,-47.66,-15.58,1100
Belterra,-54.95,-2.65,70
Balbina,-59.49,-1.92,80
CEILAP-BA,-58.5,-34.57,10
Anmyon,126.33,36.54,47
Katibougou,-7.53,12.92,0
Cordoba-CETT,-64.46,-31.52,730
Dead_Sea,35.45,31.1,-410
COVE,-75.71,36.9,37
China_Lake,-117.74,35.67,800
Tremiti,15.49,42.12,4
IMS-METU-ERDEMLI,34.26,36.57,3
Avignon,4.88,43.93,32
Mammoth_Lake,-119.03,37.62,2930
Rogers_Dry_Lake,-117.89,34.93,680
Stennis,-89.62,30.37,20
El_Arenosillo,-6.73,37.11,0
UCLA,-118.45,34.07,131
Nes_Ziona,34.79,31.92,40
Maricopa,-111.97,33.07,360
Inhaca,32.91,-26.04,73.5
Kyiv,30.5,50.36,200
Churchill,-93.82,58.74,10
IMC_Oristano,8.5,39.91,10
Azores,-28.63,38.53,50
Hamburg,9.97,53.57,105
KONZA_EDC,-96.61,39.1,341
Roosevelt_Roads,-65.6,18.2,10
Puerto_Madryn,-65.01,-42.79,15
Modena,10.95,44.63,56
La_Parguera,-67.05,17.97,12.4
Rio_Branco,-67.87,-9.96,212
Lampedusa,12.63,35.52,45
Maun_Tower,23.55,-19.9,940
Ndola,28.66,-13,1270
Solwezi,26.36,-12.17,1333
Cairo_University,31.21,30.03,50
Sua_Pan,26.07,-20.53,900
Swakopmund,14.56,-22.66,250
GISS,-73.96,40.8,50
Etosha_Pan,15.91,-19.18,1131
Mwinilunga,24.43,-11.74,1430
Pietersburg,29.45,-23.88,1200
Kaoma,24.79,-14.79,1179
SKUKUZA_AEROPORT,31.59,-24.97,293
Osaka,135.59,34.65,50
Bucarest,26.53,44.45,44
Shirahama,135.36,33.69,10
BSRN_BAO_Boulder,-105.01,40.05,1604
Kanpur,80.23,26.51,123
Midway_Island,-177.38,28.21,20
Billerica,-71.27,42.53,82
Moscow_MSU_MO,37.51,55.7,192
Minsk,27.6,53.92,200
Beijing,116.38,39.98,92
NUIST,118.72,32.21,62
Ningbo,121.55,29.86,37
Qiandaohu,119.05,29.56,133
Perth,115.89,-32.01,0
Kelowna,-119.37,49.96,344
CEILAP-UTN,-58.47,-34.66,27
New_Delhi,77.18,28.63,240
Okinawa,127.77,26.36,46
Kuopio,27.63,62.89,105
Agoufou,-1.48,15.35,305
Sao_Paulo,-46.73,-23.56,865
MPI_Mainz,8.24,49.99,147
Seoul_SNU,126.95,37.46,116
Angiola,-119.54,35.95,210
Gerlitzen,13.91,46.68,1900
Al_Dhafra,54.55,24.25,40
SteamboatSpring,-106.81,40.4,2120
Rome_Tor_Vergata,12.65,41.84,130
SMHI,16.15,58.58,0
Rottnest_Island,115.5,-32,70
THALA,8.68,35.55,1091
Gosan_SNU,126.16,33.29,72
CUIABA-MIRANDA,-56.02,-15.73,210
XiangHe,116.96,39.75,36
Orizaba,-97.32,19.11,3246
Dunhuang,94.79,40.04,1300
Bragansa,-46.64,-0.83,55
Noto,137.14,37.33,200
IFT-Leipzig,12.44,51.35,125
Inner_Mongolia,115.95,42.68,1343
Lan_Yu_Island,121.56,22.04,348
Yulin,109.72,38.28,1080
BORDEAUX,-0.58,44.79,40
Marseille,5.38,43.28,100
Realtor,5.38,43.49,208
Vinon,5.76,43.71,304
Railroad_Valley,-115.96,38.5,1435
Wan-Li,121.58,25.29,93.3
Oostende,2.93,51.23,23
Homburi,-1.55,15.33,280
Philadelphia,-75,40.04,20
Davos,9.84,46.81,1596
Penn_State_Univ,-78.08,40.74,401
Lochiel,-122.6,49.03,0
Santiago,-70.72,-33.49,510
Rochester,-77.59,44.23,0
Big_Meadows,-78.44,38.52,1082
Tarbes,0.08,43.25,350
Biarritz,-1.55,43.48,0
Pic_du_midi,0.14,42.94,2898
CCNY,-73.95,40.82,100
The_Hague,4.33,52.11,18
Columbia_SC,-81.04,34.02,104.2
Jabiru,132.89,-12.66,30
Lake_Argyle,128.75,-16.11,150
Munich_University,11.57,48.15,533
Lecce_University,18.11,40.34,30
Coleambally,146.06,-34.81,127
Tarbes_Etal,0.05,43.22,332
Kuwait_University,47.97,29.33,42
Hermosillo,-110.96,29.07,237
BAHRAIN,50.61,26.21,25
Yekaterinburg,59.55,57.04,300
Mussafa,54.47,24.37,10
Tomsk,85.05,56.48,130
London-UCL-UAO,-0.13,51.52,46.61
Yakutsk,129.37,61.66,118.5
ATHENS-NOA,23.78,37.99,130
Dahkla,-15.95,23.72,12
ISDGM_CNR,12.33,45.44,20
Taipei_CWB,121.5,25.03,26
Chen-Kung_Univ,120.22,23,50
Fontainebleau,2.68,48.41,85
Munich_Maisach,11.26,48.21,520
Norfolk_State_Univ,-76.26,36.85,20
Monterey,-121.85,36.59,50
Belsk,20.79,51.84,190
Fresno,-119.77,36.78,0
IHOP-Homestead,-100.61,36.56,850
Toravere,26.46,58.26,70
Corcoran,-119.57,36.1,110
Andenes,16.01,69.28,379
SMEX,-93.66,41.94,316
Halifax,-63.59,44.64,65
Villefranche,7.33,43.68,130
Jaru_Reserve,-61.93,-10.08,162
CRYSTAL_FACE,-80.42,25.65,5
Ji_Parana_UNIR,-61.97,-10.88,100
North_Pole,24.25,88.8,0
Wits_University,28.03,-26.19,1775
Ahi_De_Cara,-3.23,37.12,2103
Armilla,-3.24,37.13,691
Pitres,-3.22,36.93,1252
Kuujjuarapik,-77.8,55.3,0
Porto_Velho,-63.95,-8.77,110
FORTH_CRETE,25.28,35.33,20
AntarcticaDomeC,123.3,-75.08,3260
Palencia,-4.52,41.99,750
Canberra,149.11,-35.27,600
Lannion,-3.46,48.73,15
Amsterdam_Island,77.57,-37.81,30
Chulalongkorn,100.53,13.74,115
Omkoi,98.43,17.8,1120
Pimai,102.56,15.18,220
Hua_Hin,99.95,12.63,1
Palgrunden,13.15,58.76,49
Bac_Giang,106.23,21.29,15
Bac_Lieu,105.73,9.28,10
Cabo_Raso,-9.49,38.71,20
Carpentras,5.06,44.08,100
Kellogg_LTER,-85.37,42.41,293
Rossfeld,7.62,48.34,167
Cabauw,4.93,51.97,-0.7
Longyearbyen,15.65,78.22,30
Great_Falls,-77.25,39.01,0
Riverside_Park,-77.07,38.72,0
Rockville,-77.13,39.06,0
The_Mall,-77.03,38.89,6
Greenbelt_Park,-76.89,38.75,0
Worthington_ES,-76.79,39.24,160
Mt_Royal_ES_MS,-76.63,39.31,80
Mt_Washington_ES,-76.65,39.37,100
Southeast_MS,-76.53,39.28,0
Talmudical_Academy,-76.75,39.37,100
Sugarcone,-76.69,39.38,0
Frederick_Douglas,-76.65,39.32,80
Hamilton_El_MS,-76.56,39.36,100
Lakeland_El_MS,-76.65,39.25,100
Lansdowne_HS,-76.65,39.25,35
Robert_Poole_MS,-76.64,39.33,27
Waters_Art_Gallery,-76.62,39.3,0
Patapsco_MS,-76.85,39.3,0
Catonsville,-76.75,39.28,0
Windsor_Corp_Park,-76.75,39.33,157
St_Timothys_Lane,-76.73,39.27,0
Glendale_Park,-76.58,39.38,0
Clifton_Park,-76.59,39.31,0
LW-SCAN,-97.98,34.96,358
Toulon,6.01,43.14,50
Dunkerque,2.37,51.04,0
Irkutsk,103.09,51.8,670
Evora,-7.91,38.57,293
ETNA,15.02,37.61,736
Sao_Martinho_SONDA,-53.08,-29.44,489
Petrolina_SONDA,-40.5,-9.38,370
Campo_Grande_SONDA,-54.54,-20.44,677
Ellington_Field,-95.18,29.6,25
Hyytiala,24.3,61.85,191
MVCO,-70.55,41.3,10
Laegeren,8.35,47.48,735
Egbert_X,-79.75,44.23,264
Mace_Head,-9.9,53.33,20
Blida,2.88,36.51,230
Dhabi,54.38,24.48,15
New_Hampshire_Univ,-70.92,43.13,30
Crozet_Island,51.85,-46.43,221
Mukdahan,104.68,16.61,166
Los_Alamos,-106.33,35.87,2350
BEIJING_2002,116.28,39.93,0
Cabo_da_Roca,-9.5,38.78,140
Messina,15.57,38.2,15
Panama_BCI,-79.85,9.17,0
Djougou,1.6,9.76,400
Gwangju_K-JIST,126.84,35.23,52
Thessaloniki,22.96,40.63,60
Rio_Piedras,-66.05,18.4,30
Umm_Al_Quwain,55.66,25.53,20
Abu_Dhabi,54.33,24.48,7
Ames,-93.77,42.02,338
Darwin,130.89,-12.42,29
IER_Cinzana,-5.93,13.28,285
Granada,-3.61,37.16,680
Mezaira,53.78,23.15,204
Al_Khaznah,55.1,24.16,192
Hamim,54.3,22.97,209
Jabal_Hafeet,55.78,24.06,1059
Al_Qlaa,53.03,24.13,5
Saada,-8.16,31.63,420
Saih_Salam,55.31,24.83,84
Dhadnah,56.32,25.51,81
Chebogue_Point,-66.12,43.75,0
Resolute_Bay,-94.9,74.73,40
MAARCO,54.66,24.7,10
SMART,55.61,24.25,250
Abu_Al_Bukhoosh,53.15,25.5,24.5
Dalma,52.33,24.5,0
Sir_Bu_Nuair,54.23,25.22,10
Pune,73.81,18.54,559
Nicelli_Airport,12.38,45.43,13
Santa_Cruz_Tenerife,-16.25,28.47,52
Moss_Landing,-121.79,36.79,20
Zakum_Field,53.61,24.84,37.5
Cape_San_Juan,-65.62,18.38,15
Fresno_X,-119.77,36.78,0
Sioux_Falls_X,-96.63,43.74,500
Kapoho,-154.81,19.52,0
Prospect_Hill,-64.7,32.37,63
Karlsruhe,8.43,49.09,140
Bodele,18.55,16.88,179
Gustav_Dalen_Tower,17.47,58.59,25
Liangning,122.7,41.51,15
Hornsund,15.56,77,10
Cairo_EMA,31.29,30.08,70
COVE_SEAPRISM,-75.71,36.9,24
Fort_McMurray,-111.48,56.75,360
Elandsfontein,29.42,-26.25,1740
OHP_OBSERVATOIRE,5.71,43.94,680
WSTF,-106.61,32.51,1475
Monks_Wood,-0.24,52.4,93
Tonopah_Airport,-117.09,38.05,1580
Caceres,-6.34,39.48,397
Praia,-23.48,14.95,70
MUBFS,30.37,0.57,1250
SMART_POL,55.61,24.25,250
Birdsville,139.35,-25.9,46.5
Asia1,87.65,43.78,935.9
Taihu,120.22,31.42,20
Red_Mountain_Pass,-107.73,37.91,3368
Asmara,38.92,15.34,0
Dunedin,170.51,-45.86,43
Chilbolton,-1.44,51.14,88
Hefei,117.16,31.9,36
Trelew,-65.31,-43.25,15
CEILAP-RG,-69.32,-51.6,15
Hong_Kong_PolyU,114.18,22.3,30
DMN_Maine_Soroa,12.02,13.22,350
Taichung,120.49,24.11,10
ICIPE-Mbita,34.2,-0.42,1125
Nairobi,36.87,-1.34,1650
Kibale,30.36,0.56,1536
Merredin,118.23,-31.49,315
Ji_Parana_SE,-62.85,-10.93,218
La_Paz,-68.07,-16.54,3439
Tamanrasset_INM,5.53,22.79,1377
Tamanrasset_TMP,5.53,22.79,1377
USDA-BARC,-76.93,39.03,46
Xinglong,117.58,40.4,970
T2_MAX_MEX,-98.91,20.01,2542
Tampico_MAX_MEX,-97.86,22.28,15
Tudor_Hill,-64.88,32.26,51
Veracruz_MAX_MEX,-96.19,19.14,10
Ras_El_Ain,-7.6,31.67,570
Lulin,120.87,23.47,2868
EVK2-CNR,86.81,27.96,5050
Ny_Alesund,11.86,78.93,46
Guam,144.8,13.43,62
Adelaide_Site_7,138.66,-34.73,30
Gandhi_College,84.13,25.87,60
Crete_TEI,25.1,35.3,122
Helsinki_Lighthouse,24.93,59.95,20
Milyering,113.92,-22.03,10
Richland,-119.28,46.34,123
Chapais,-74.98,49.82,373.44
EPA-NCU,121.19,24.97,144
Sevastopol,33.52,44.62,80
Smith_Island_CBF,-76.02,37.97,0
Niamey,2.17,13.48,205
Brussels,4.35,50.78,120
Muscat,58.44,23.61,22
Lhasa,91.03,29.65,3690
Zvenigorod,36.78,55.7,200
Epanomi,22.98,40.38,20
SACOL,104.14,35.95,1965.8
NAM_CO,90.96,30.77,4740
Univ_of_Houston,-95.34,29.72,65
Al_Ain,55.71,24.24,283
Sonmiani,66.59,25.69,0
Mount_Chacaltaya,-68.13,-16.35,5233
Karachi,67.03,24.87,49
Appledore_Island,-70.62,42.99,35
